,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
103,Luis,Sinisterra,1,0,11,145,5,47.3,61.0,90.0,0,33,19.9,0,0,0,0.0,55,MID
104,Kristoffer,Ajer,0,1,22,723,13,94.4,122.8,107.0,1,117,32.3,2,0,4,0.4,45,DEF
105,Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK
106,Shandon,Baptiste,0,0,2,36,1,0.2,3.4,2.0,0,4,0.5,0,0,0,0.9,43,MID
107,Mads,Bech Sørensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
108,Mads,Bidstrup,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
109,Sergi,Canós Tenés,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
110,Nathan,Collins,1,1,40,999,15,47.7,271.2,99.0,3,219,42.0,3,0,2,0.7,45,DEF
111,Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
112,Mikkel,Damsgaard,0,0,2,52,0,3.3,10.4,17.0,0,4,3.1,0,0,0,0.0,48,MID
113,Josh,Dasilva,0,0,1,9,0,0.0,0.0,2.0,0,3,0.1,0,0,0,0.0,47,MID
114,Halil,Dervişoğlu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
115,Mark,Flekken,0,0,37,1035,16,0.0,253.4,0.0,1,212,25.4,3,0,1,2.8,45,GK
116,Charlie,Goode,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
117,Rico,Henry,0,1,13,401,5,67.9,72.8,17.0,0,74,15.7,1,0,1,1.1,43,DEF
118,Aaron,Hickey,0,0,17,713,12,28.4,66.6,37.0,0,87,12.9,2,0,5,0.2,44,DEF
119,Vitaly,Janelt,0,1,30,1019,11,188.9,134.8,107.0,0,133,43.0,4,0,2,0.1,53,MID
120,Mathias,Jensen,3,3,58,905,13,306.7,259.4,85.0,8,217,64.9,5,0,2,2.6,54,MID
121,Keane,Lewis-Potter,0,0,9,219,5,21.8,15.2,58.0,0,16,9.3,0,0,0,0.0,47,MID
122,Bryan,Mbeumo,6,3,76,1170,18,373.1,335.6,405.0,9,216,111.3,3,0,1,27.0,70,MID
